Name,Type,TextBox,Subtype,Cost,Attack,Speed,Health,Legendary,Patron,VersionAdded,ArtType,ArtCredit,HasAnimation,AnimationCount,AnimationTypes,StarterDecks
Lightning Bolt,Spell,[Range 4]: Deal 6 damage.,Lightning,4,,,,,Skaal,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,True,3,ParticleDisplayFXAnimation;SingleSoundFXAnimation,Starter Deploy
"Limmick, Goblin Hedonist",Minion,Legendary. Deploy. Flying. Arrival: Draw a Potion from your deck.,Goblin,3,3,2,2,True,Skaal,0.1.2,AI_GENERATED,Midjourney,False,0,,Starter Deploy
Live off the Land,Spell,Increase your Dominion by 1. Heal your commander for 4.,None,1,,,,,Grenalia,0.1.4,AI_GENERATED,Midjourney,False,0,,
Local Trader,Minion,Arrival: Draw a card.,Human,2,1,3,1,,Neutral,0.1.21,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Longleg Dorathru,Minion,Legendary. Commander-Deploy. Arrival: Gain +2 Power and +2 Health for each card you've played this turn.,Arachnid,4,3,3,3,True,Archaeon,0.5.5,AI_GENERATED,Nano Banana Pro,False,0,,
Lord of Casterhorn,Minion,Commander-Deploy. Ally minions within Range 3 have +1 Power and +1 Health.,Human,3,2,3,3,,Neutral,0.1.1,AI_GENERATED,DALL-E,False,0,,Starter Deploy
Lord of Heavenspire,Minion,Arrival: Ally minions within Range 2 gain Shield.,Dwarf,3,3,2,3,,Lucia,0.4.8,AI_GENERATED,Midjourney,False,0,,
Lorecaller Gazan,Minion,"Legendary. Spellcaster. If you would draw a card, draw twice as many.",Elf,7,7,3,7,True,Archaeon,0.4.17,AI_GENERATED,DALL-E,False,0,,
Lucian Battalion,Minion,Arrival: add a Lucian Soldier to hand.,Human,2,2,3,1,,Lucia,0.1.16,AI_GENERATED,Midjourney,False,0,,
Lucian Squire,Minion,Arrival: give the leftmost minion card in your hand +1 Power and +1 Health.,Human,1,1,3,1,,Lucia,0.6.6,AI_GENERATED,ChatGPT Images,False,0,,
Lucian Zealot,Minion,[Skip an Attack]: Summon a Lucian Soldier.,Human,4,3,3,5,,Lucia,0.1.16,AI_GENERATED,Midjourney,False,0,,
Lumbering Ogre,Minion,"Trample.  (When battling and killing an enemy, regain an Attack.)",Ogre,4,6,1,6,,Neutral,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Mad Warlock,Minion,Spellcaster. Postmortem: Draw a spell from your deck.,Human,4,5,3,3,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,"Starter Death, Starter Mage"
Mage Slayer,Minion,Veiled.  (Cannot be the direct target of enemy Spells or Abilities.),Dwarf,3,3,2,3,,Neutral,0.6.4,AI_GENERATED,ChatGPT Images,False,0,,
Mana Bloom,Minion,[Skip an Attack]: Gain 1 mana this turn.,Plant,1,0,0,3,,Grenalia,0.1.21,AI_GENERATED,Midjourney,False,0,,
Manaphant,Minion,"[Cooldown 2, Skip an Attack]: Gain 1 mana this turn.",Beast,1,1,1,3,,Grenalia,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,
Master Craftsman,Minion,"[1 Mana, Warmup 2]: Convert the occupied tile to a village.",Dwarf,1,0,2,1,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,
Memory Theft,Spell,"[Range 2]: Deal 1 damage to a character. If it dies, draw a card from their deck.",Psychic,1,,,,,Archaeon,0.5.3,AI_GENERATED,Nano Banana Pro,False,0,,
Mind Blast,Spell,[Range 2]: Deal damage to target minion equal to your Intellect.,Psychic,3,,,,,Archaeon,0.6.11,AI_GENERATED,ChatGPT Images,False,0,,
Mindstone Servant,Minion,"Whenever Mindstone Servant takes damage, draw a card and gain 1 Intellect. Spellcaster.",Mech,5,3,3,6,,Neutral,0.6.11,AI_GENERATED,ChatGPT Images,False,0,,
Minor Priest,Minion,"Spellcaster. [Range 2, Cooldown 1]: A character you control heals 1.",Human,1,1,3,2,,Neutral,0.1.2,AI_GENERATED,Midjourney,False,0,,
Moonlight Seraph,Minion,"Flying. Lifelink. When Moonlight Seraph attacks and kills a minion, draw a card.",Angel,6,6,4,6,,Lucia,0.4.7,AI_GENERATED,Midjourney,False,0,,
Mother of Beasts,Minion,Legendary. Ally Beasts within Range 3 have Regenerate 3.,Beast,3,2,3,4,True,Grenalia,0.1.21,AI_GENERATED,Stable Diffusion,False,0,,
Mummified Warrior,Minion,Postmortem: Draw a card.,Undead,2,2,2,2,,Neutral,0.4.38,AI_GENERATED,DALL-E,False,0,,Starter Death
Nevisha Ascendant,Minion,Legendary. Flying. Arrival AND at the beginning of your turn: add a Lucian Soldier to your hand and ally minions in Range 3 gain +1/+1/+1.,Angel,7,6,5,6,True,Lucia,0.1.23,AI_GENERATED,Midjourney,False,0,,
Nexus Operative,Minion,"Spellcaster. Whenever you play a spell, your other Spellcasters gain +1/+1/+1 until end of turn.",Elf,3,3,3,3,,Archaeon,0.4.26,AI_GENERATED,DALL-E,False,0,,
Nexus Recruit,Minion,"Spellcaster. Whenever you draw a card, gain +1/+1/+1 until end of turn.",Elf,1,1,2,2,,Archaeon,0.4.26,AI_GENERATED,DALL-E,False,0,,
Nilo of One Thousand Cuts,Minion,"Legendary. Postmortem: Deal 2 damage to each commander, then add a copy of Nilo to your hand.",Demigod,2,2,2,2,True,Shadis,0.1.1,ARTIST_COMMISSIONED,Mark Petrelis,False,0,,
Nobleman of the Order,Minion,"Whenever a minion is healed within Range 3, draw a card.",Human,4,3,3,4,,Lucia,0.1.7,AI_GENERATED,Midjourney,False,0,,Starter Military
Oathbroken Apprentice,Minion,"Commander-Deploy. Whenever your commander loses life on your turn, gain +1 Power.",Human,1,1,3,2,,Neutral,0.6.11,AI_GENERATED,ChatGPT Images,False,0,,
Oathsworn Champion,Minion,Arrival: Heal all allies for 2.,Human,5,5,3,5,,Neutral,0.1.4,AI_GENERATED,Midjourney,False,0,,Starter Military
Oldsteel Guard,Minion,Has +1 Power for each territory you control.,Dwarf,2,0,2,2,,Neutral,0.6.4,AI_GENERATED,ChatGPT Images,False,0,,
Outflank,Spell,[Range 3]: Target enemy minion takes damage equal to the number of humans you control.,None,1,,,,,Lucia,0.4.38,AI_GENERATED,DALL-E,False,0,,
Outland Berserker,Minion,"Commander-Deploy. Whenever Outland Berserker takes damage, it gains +2 Power.",Human,5,3,3,7,,Neutral,0.3.2,AI_GENERATED,Midjourney,False,0,,Starter Military
Outland Village,Spell,"[Range 3]: Claim an unclaimed, uncontested tile. Convert the tile to a village.",Village,4,,,,,Neutral,0.1.4,AI_GENERATED,Midjourney,False,0,,
Owl Familiar,Minion,Flying. Spellcaster.,Beast,2,2,4,2,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,Starter Mage
Pack Wolf,Minion,Gets +2 Power for each adjacent ally Beast.,Beast,2,2,3,2,,Neutral,0.2.5,AI_GENERATED,Midjourney,False,0,,
Paladin Initiate,Minion,"Commander-Deploy. Whenever a character you own is healed, gain +1 Power.",Human,1,1,3,3,,Neutral,0.1.2,AI_GENERATED,Midjourney,False,0,,Starter Military
Paladin of Eos,Minion,"[Range 2, Cooldown 1]: Heal a character for 2.",Human,3,2,3,4,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,
Paladin Proselyte,Minion,"Commander-Deploy. Whenever a character you own is healed, gain +1/+0/+1.",Human,3,3,3,3,,Neutral,0.1.2,PURCHASED_ASSET,Nightfall Interactive,False,0,,Starter Military
Peer,Spell,"[Range 2]: Draw a card, then Reveal the leftmost card from a commander's hand.",Psychic,0,,,,,Archaeon,0.4.28,AI_GENERATED,DALL-E,False,0,,
Pit Lord,Minion,Flying. Trample. Commander-Deploy. At the beginning of your turn: your commander loses 4 life.,Daemon,5,6,4,7,,Shadis,0.4.20,AI_GENERATED,DALL-E,False,0,,
Pixie Pikeman,Minion,"Flying. Arrival: discard the leftmost card in your hand, then draw a card.",Fae,2,3,4,1,,Adora,0.4.44,AI_GENERATED,DALL-E,False,0,,
Poison Spray,Spell,[Range 3]: Add 4 Poison to a character.,None,3,,,,,Grenalia,0.1.14,AI_GENERATED,Midjourney,True,3,LoopingParticle;ParticleDisplayFXAnimation,Starter Beasts
Poison Sting,Spell,[Range 3]: Add 2 Poison to a character.,None,1,,,,,Grenalia,0.1.14,ARTIST_COMMISSIONED,Marc Petrelis,True,3,LoopingParticle;ParticleDisplayFXAnimation,Starter Beasts
Pond Hopper,Minion,"[Range 4, Cooldown 1]: Pull a minion in a straight line to Pond Hopper.",Beast,2,2,3,3,,Neutral,0.3.3,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Ponder,Spell,Draw 2 cards.,None,3,,,,,Archaeon,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,Starter Mage
Potion of Healing,Spell,[Range 2]: Heal a character for 4.,Potion,1,,,,,Neutral,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Power Potion,Spell,[Range 2]: Give a minion +3/+0/+3,Potion,3,,,,,Neutral,0.1.2,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,"Starter Death, Starter Deploy, Starter Military"
Prideplain Enforcer,Minion,Arrival: Gain 1 Dominion.,Beast,2,3,2,2,,Neutral,0.1.27,AI_GENERATED,Midjourney,False,0,,Starter Beasts
Prideplain Queen,Minion,Your Beasts have Haste.,Beast,6,5,3,6,,Grenalia,0.1.21,AI_GENERATED,Midjourney,True,1,SingleSoundFXAnimation,Starter Beasts
Primordial Storm,Spell,Deal 3 damage to all enemy minions twice.,Lightning,8,,,,,Skaal,0.6.13,AI_GENERATED,ChatGPT Images,False,0,,
Prince Xerxes,Minion,Legendary. Realmbound. Your Arrival abilities trigger an additional time.,Human,4,3,3,3,True,Neutral,0.2.5,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Purifier Euron,Minion,Legendary. [Once Per Game]: Destroy the current tile if it's a village to destroy ALL other minions.,Demigod,9,8,3,6,True,Lucia,0.2.10,ARTIST_COMMISSIONED,Marc Petrelis,True,3,ParticleDisplayFXAnimation;SingleSoundFXAnimation,
Pyromancer Apprentice,Minion,"Realmbound. Spellcaster. Whenever you play a Spell with cost 3 or greater, add a Flamelash to your hand.",Human,2,2,3,2,,Skaal,0.1.29,AI_GENERATED,Midjourney,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,
Pyromaniac,Minion,Spellcaster. Arrival: Draw a fire card from your deck.,Human,3,3,3,1,,Skaal,0.2.1,AI_GENERATED,Midjourney,False,0,,
Quell the Weak,Spell,[Range 4]: Destroy a minion with mana cost 4 or less.,None,2,,,,,Lucia,0.1.7,AI_GENERATED,DALL-E,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,Starter Military
Quickling,Minion,(Quicklings move faster than mortal eyes can follow.),Beast,5,3,9,6,,Neutral,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,Starter Beasts
Ravenous Wolf,Minion,(Fear the wolf with the strongest appetite.),Beast,2,3,4,2,,Neutral,0.1.1,AI_GENERATED,Midjourney,False,0,,Starter Beasts
Red Dragon,Minion,"Flying. Haste. [Warmup 3, Range 2]: Deal 3 damage to all characters within 1 Radius.",Dragon,6,5,4,5,,Skaal,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,True,1,SingleSoundFXAnimation,
Regeneration Potion,Spell,[Range 2]: Give a minion Regeneration 3.,Potion,1,,,,,Grenalia,0.2.5,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
"Reileigh, Brewpatron",Minion,Legendary. Potions in your hand cost 0.,Human,6,4,3,6,True,Neutral,0.3.4,AI_GENERATED,Midjourney,False,0,,
Remit,Spell,[Range 2] Return a minion to their controller's hand.,Psychic,1,,,,,Archaeon,0.4.15,AI_GENERATED,DALL-E,False,0,,Starter Mage
Revoke the Living,Spell,Add 2 poison to all enemies within Range 1 of your territory. Increase your Dominion by 1.,None,4,,,,,Grenalia,0.1.14,AI_GENERATED,Midjourney,True,3,LoopingParticle;ParticleDisplayFXAnimation,
"Rhea, Morning Saint",Minion,"Legendary. Shield. Arrival: if your other minions have 7 or more total Health, give the leftmost minion in your hand +5/+1/+5 and Shield.",Human,5,6,3,3,True,Lucia,0.6.15,AI_GENERATED,ChatGPT Images,False,0,,
Ritual of Shadows,Spell,Shuffle three Dark Offerings into your deck.,None,1,,,,,Shadis,0.4.25,AI_GENERATED,DALL-E,False,0,,
Royal Commander,Minion,Ally minions within Range 3 have +1/+1/+1.,Human,6,6,3,6,,Neutral,0.4.42,AI_GENERATED,Midjourney,False,0,,"Starter Death, Starter Military"
Rule the Hinterlands,Spell,Claim an uncontested tile adjacent to your territory. Increase your Dominion by 2.,None,3,,,,,Grenalia,0.1.4,AI_GENERATED,Midjourney,False,0,,
Runic Knight,Minion,Spell-Damage +1.  (Spells you play deal an extra 1 damage.),Human,3,3,3,4,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,Starter Mage
Sacrificial Offering,Spell,Destroy an ally minion. Draw 2 cards.,None,1,,,,,Shadis,0.4.15,AI_GENERATED,DALL-E,False,0,,Starter Death
Sage Potion,Spell,"[Range 2]: A minion gains ""Whenever you draw a card, gain +1/+0/+1"".",Potion,2,,,,,Archaeon,0.4.23,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Sanguine Baroness,Minion,Fatal. Arrival: Draw 2 cards and your commander heals 2.,Vampire,7,3,3,3,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,
Scout Hunter,Minion,Commander-Deploy. Spellcaster. Arrival: Refresh 5 Mana.,Arachnid,5,4,3,4,,Archaeon,0.4.25,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,Starter Mage
Second Experiment,Minion,"Whenever you play a Potion on an ally Experiment, gain +1 Speed and +1 Power.",Experiment,2,3,1,3,,Neutral,0.1.7,AI_GENERATED,Midjourney,False,0,,
Sentinel of Light,Minion,Lifelink. Shield. Commander-Deploy.,Human,2,2,3,2,,Lucia,0.4.8,AI_GENERATED,Midjourney,False,0,,Starter Military
Settle Village,Spell,Convert a tile you own to a village.,Village,3,,,,,Neutral,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,
Shield Potion,Spell,[Range 2]: A character gains Shield.,Potion,1,,,,,Lucia,0.4.8,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Shock Nova,Spell,Deal 1 damage to ALL characters.,Lightning,1,,,,,Skaal,0.1.21,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
Silence,Spell,[Range 4]: Silence target minion.,None,0,,,,,Lucia,0.4.43,AI_GENERATED,DALL-E,False,0,,
Silver Dragon,Minion,"Flying. Shield. [Warmup 3, Range 2]: Stun enemies within 1 Radius.",Dragon,5,5,4,5,,Neutral,0.4.22,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
Skerr'drix,Minion,"Legendary. Spellcaster. When you play a non-ethereal spell, add an ethereal copy to your hand that costs zero mana.",Dragon,8,6,4,6,True,Neutral,0.4.6,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
Slash and Burn,Spell,Unclaim a tile you control. Gain 2 Dominion.,Fire,1,,,,,Skaal,0.2.10,AI_GENERATED,Midjourney,False,0,,
Slay the Mighty,Spell,[Range 4]: Destroy a minion with mana cost 4 or greater.,None,3,,,,,Lucia,0.1.2,AI_GENERATED,DALL-E,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,Starter Military
Soul Sale,Spell,Add 3 Imps to your hand. They cost 0 and have Ethereal.,None,4,,,,,Shadis,0.4.44,AI_GENERATED,DALL-E,False,0,,
Soulreap,Spell,An enemy minion gets -6 Power and -6 Health. Your commander heals 6 life. Costs 5 less if you control a Daemon.,None,8,,,,,Shadis,0.4.22,AI_GENERATED,Midjourney,False,0,,
Spiderling Rider,Minion,Trample. [Range 2 Attack]: Deal 2 damage to an enemy if you control another Arachnid.,Arachnid,3,3,3,3,,Neutral,0.4.38,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
Spoils of War,Spell,Discard your hand. Draw cards equal to the number of territories you control.,None,5,,,,,Skaal,0.4.7,AI_GENERATED,DALL-E,False,0,,
Spore Thresher,Minion,"At the end of your turn, add 2 Poison to enemies and heal 2 for allies within Range 2.",Plant,6,1,0,6,,Grenalia,0.2.5,ARTIST_COMMISSIONED,Tomas Vinco,True,5,LoopingParticle;ParticleDisplayFXAnimation;SingleSoundFXAnimation,
Stagasus,Minion,"Flying. [1 Mana, Range 2, Skip an Attack]: Give an ally +4 movement.",Beast,2,2,2,2,,Neutral,0.1.1,ARTIST_COMMISSIONED,Mark Petrelis,False,0,,Starter Deploy
Stalking Hippo,Minion,Regenerate 5.  (Heals for 5 at the end of your turn.),Beast,5,4,4,6,,Neutral,0.4.42,AI_GENERATED,DALL-E,False,0,,Starter Beasts
Stalwart Tarantula,Minion,Has +2 Power during enemy turns.,Arachnid,3,2,3,5,,Neutral,0.4.20,AI_GENERATED,DALL-E,False,0,,Starter Death
Stampede,Spell,Beasts you control within Range 3 gain +3/+2/+3 and gain Trample until the end of the turn.,None,6,,,,,Grenalia,0.3.2,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
Steel Lancer,Minion,Haste. Shield.,Human,5,4,3,3,,Neutral,0.4.42,AI_GENERATED,DALL-E,True,1,SingleSoundFXAnimation,Starter Death
Stormrider Zurn,Minion,"Legendary. Spellcaster. Haste. When you play a Lightning spell, gain +2/+2/+2 until end of turn.",Demigod,4,6,0,6,True,Skaal,0.1.21,ARTIST_COMMISSIONED,Marc Petrelis,True,1,SingleSoundFXAnimation,
Stout Knight,Minion,Shield.  (Prevent the first time this would be damaged from another source.),Dwarf,1,2,2,1,,Neutral,0.4.14,AI_GENERATED,DALL-E,False,0,,
Strategic Reserves,Spell,Draw a minion from your deck. It gains Deploy.,None,2,,,,,Skaal,0.4.41,AI_GENERATED,DALL-E,False,0,,
Stumbling Ghoul,Minion,Postmortem: Summon a 2/2/2 Undead Zombie.,Undead,1,1,2,1,,Shadis,0.4.18,AI_GENERATED,DALL-E,False,0,,
Styrian Infantry,Minion,Arrival: draw a card if you have 3 or less maximum mana.,Human,1,2,3,1,,Neutral,0.1.1,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Supercharger,Minion,[Warmup 1]: All adjacent allies gain +1 movement and regain their Attacks.,Mech,5,6,3,4,,Neutral,0.2.10,AI_GENERATED,Midjourney,False,0,,Starter Mage
Swiftfoot Goblin,Minion,"Haste.  (When played, can move and Attack immediately.)",Goblin,1,2,2,1,,Neutral,0.1.27,AI_GENERATED,Midjourney,True,1,SingleSoundFXAnimation,"Starter Death, Starter Deploy"
Swiftness Potion,Spell,[Range 2]: Give a minion +3 Speed.,Potion,2,,,,,Neutral,0.1.4,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
Tadpole,Minion,"Whenever you play a Spell, Tadpole gains +1 Power and +1 Health.",Beast,1,1,3,2,,Neutral,0.1.2,AI_GENERATED,Stable Diffusion,False,0,,Starter Mage
Tax Collector,Minion,Arrival: ALL players gain 2 Dominion.,Human,4,2,4,5,,Neutral,0.6.5,AI_GENERATED,ChatGPT Images,False,0,,
Throne Guardian,Minion,"Flying. Arrival: Gain 1 Dominion, Gain 1 Intellect, Draw 1 Card.",Dragon,5,4,4,4,,Neutral,0.4.4,AI_GENERATED,DALL-E,False,0,,
Thunder Jolt,Spell,[Range 4]: Deal 1 damage.,Lightning,0,,,,,Skaal,0.1.4,ARTIST_COMMISSIONED,Marc Petrelis,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,
Thunder Skywhale,Minion,Flying. Deploy. [Arrival]: Return all enemy minions within Range 2 that have Health less than the number of tiles in your territory.,Beast,8,6,3,6,,Archaeon,0.4.41,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
Thunder Step,Spell,"A friendly character may Teleport up to 2 tiles this turn. Before it does, Stun all adjacent minions.",Lightning,3,,,,,Skaal,0.4.5,AI_GENERATED,DALL-E,False,0,,
Thunderous Warbeast,Minion,"Arrival: Add two Thunder Jolts to your hand. When you play a Lightning spell, your commander heals 2.",Beast,5,4,3,5,,Skaal,0.2.5,AI_GENERATED,Midjourney,True,2,ParticleDisplayFXAnimation;SingleSoundFXAnimation,
Titan Herald,Minion,Arrival: Draw the highest cost card from your deck and unclaim the current tile.,Human,4,4,3,3,,Neutral,0.2.10,AI_GENERATED,Midjourney,False,0,,
Toxic Watering,Spell,"Your plants gain ""At the end of each of your turns, enemy commanders gain 1 Poison.""",None,1,,,,,Grenalia,0.4.22,AI_GENERATED,DALL-E,True,3,LoopingParticle;ParticleDisplayFXAnimation,
Toxicologist,Minion,"Realmbound. At the beginning of your turn: add a Poison Sting to your hand. If Toxicologist is poisoned, add two.",Human,3,2,1,6,,Grenalia,0.4.8,ARTIST_COMMISSIONED,Marc Petrelis,True,3,LoopingParticle;ParticleDisplayFXAnimation,
Toxicologist's Vial,Spell,[Range 2]: Double a character's poison.,Potion,4,,,,,Grenalia,0.1.14,ARTIST_COMMISSIONED,Tomas Vinco,True,3,LoopingParticle;ParticleDisplayFXAnimation,
Tree of Life,Minion,"Legendary. At the end of your turn, your commander and plants you control gain +2 Health (increases Max Health).",Plant,7,2,0,13,True,Grenalia,0.4.26,AI_GENERATED,DALL-E,False,0,,
Tyrannic Ideal,Spell,Convert your excess Intellect into Dominion.,Psychic,3,,,,,Archaeon,1.1.1,AI_GENERATED,ChatGPT Images,False,0,,
Undying Behemoth,Minion,Postmortem: Summon a 2/2/2 Undead Zombie that has: “Postmortem: Summon a 2/2/2 Undead Zombie.”,Undead,6,4,2,5,,Shadis,0.4.18,AI_GENERATED,DALL-E,False,0,,
Ursine Blade Trio,Minion,Commander-Deploy. Arrival: draw another Ursine Blade Trio from your deck.,Beast,3,3,3,3,,Neutral,0.2.10,ARTIST_COMMISSIONED,Tomas Vinco,False,0,,
"Vergis, Doomed Archaeologist",Minion,Legendary. Arrival: shuffle Artifact of the End into your deck,Dwarf,6,4,2,6,True,Neutral,0.4.19,AI_GENERATED,Midjourney,True,1,SingleSoundFXAnimation,
Viridian War Beast,Minion,"Trample.  (When battling and killing an enemy, regain an Attack.)",Beast,8,7,3,12,,Neutral,0.1.1,ARTIST_COMMISSIONED,Marc Petrelis,False,0,,
Vyre Aristocrat,Minion,Lifelink. [1 Mana]: Sacrifice an adjacent Minion to gain +2/+0/+2.,Vampire,2,2,3,2,,Shadis,0.4.18,AI_GENERATED,DALL-E,False,0,,
Wandering Ancient,Minion,Spellcaster. Veiled. Regenerate 3.,Beast,10,10,4,12,,Neutral,0.1.7,AI_GENERATED,Midjourney,False,0,,
War Banner,Minion,Deploy. Adjacent ally Minions have +2 Power.,None,1,0,0,3,,Skaal,0.3.2,AI_GENERATED,Midjourney,False,0,,
War Chest,Spell,"Add 1 Mana this turn, and at the start of your next turn.",None,0,,,,,Treasure,1.0.2,AI_GENERATED,ChatGPT Images,False,0,,
Warcry,Spell,Your characters within Range 3 gain +2 Power and +2 Speed until end of turn.,None,3,,,,,Skaal,0.3.2,AI_GENERATED,Midjourney,False,0,,
Warscarred Rhino,Minion,Trample. Arrival: Warscarred Rhino deals 4 damage to itself.,Beast,4,5,3,7,,Neutral,0.1.2,AI_GENERATED,Midjourney,False,0,,Starter Military
Warscarred Soldier,Minion,Arrival: Warscarred Soldier deals 5 damage to itself.,Human,1,2,3,6,,Neutral,0.2.1,AI_GENERATED,Midjourney,False,0,,Starter Military
Wise Elder,Minion,Arrival: Each player draws 2 cards.,Elf,3,2,2,2,,Neutral,0.4.28,AI_GENERATED,DALL-E,False,0,,
Zealous Captain,Minion,"Whenever a character you own is healed, adjacent ally minions gain +1/+0/+1.",Human,5,4,4,4,,Lucia,0.1.7,AI_GENERATED,Midjourney,False,0,,
Zealous Strength,Spell,Ally minions within Range 3 gain +2 Power and +2 Health. They also gain +1 Movement this turn only.,None,4,,,,,Lucia,0.1.1,AI_GENERATED,Stable Diffusion,False,0,,
"Zoghn, Eye of Treason",Minion,Legendary. Arrival: Destroy half your deck. [Cooldown 1]: Draw a card from an enemy deck.,Demigod,5,2,0,10,True,Archaeon,0.4.17,ARTIST_COMMISSIONED,Mark Petrelis,False,0,,
Zoloth the Butcher,Minion,Legendary. [Arrival]: Sacrifice a Minion to add three 2/2/2 Zombies to your hand with Ethereal that cost 0.,Undead,5,6,2,3,True,Shadis,0.6.2,AI_GENERATED,ChatGPT Images,False,0,,
